build,computer.platform,date,time,subject,blockcode,trialcode,latency,response,expressions.nr_targettrials_AX,expressions.nr_nontargettrials_AY,expressions.nr_nontargettrials_BX,expressions.nr_nontargettrials_BY,expressions.phase1trials,expressions.phase3trials,blocknum,trialnum,values.counttrials,values.trialtype,values.phase,values.cue,values.distractor1,values.distractor2,values.probe,stimulusitem1,correct
5.0.6.0,win,12417,23:23:37,43,end_page,End1,3092,57,175,25,25,25,100,150,26,2,250,4,3,O,C,L,E,This is a pilot of a neurocognitive task that is assessing memory and attention.  This task will be used to help us better understand PTSD in War Veterans.,0
5.0.6.0,win,12417,23:23:37,43,end_page,End2,1817,57,175,25,25,25,100,150,26,3,250,4,3,O,C,L,E,This is a pilot of a neurocognitive task that is assessing memory and attention.  This task will be used to help us better understand PTSD in War Veterans.  Not all veterans are getting the care that works best for them.,0
5.0.6.0,win,12417,23:23:37,43,end_page,End3,2857,57,175,25,25,25,100,150,26,4,250,4,3,O,C,L,E,This is a pilot of a neurocognitive task that is assessing memory and attention.  This task will be used to help us better understand PTSD in War Veterans.  Not all veterans are getting the care that works best for them.  Our goal is to ensure veterans are getting the most effective and personalized treatment.,0
5.0.6.0,win,12417,23:23:37,43,end_page,End4,2344,57,175,25,25,25,100,150,26,5,250,4,3,O,C,L,E,This is a pilot of a neurocognitive task that is assessing memory and attention.  This task will be used to help us better understand PTSD in War Veterans.   Not all veterans are getting the care that works best for them.  Our goal is to ensure veterans are getting the most effective and personalized treatment.  Your participation in this task has helped us move towards reaching that goal!,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct1,1000,0,175,25,25,25,100,150,2,1,0,0,0,0,0,0,0,Task 1,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct2,219091,57,175,25,25,25,100,150,2,2,0,0,0,0,0,0,0,"This task may seem a bit difficult in the beginning, but usually it gets easier as we go along.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct3,2943,57,175,25,25,25,100,150,2,3,0,0,0,0,0,0,0,"This task may seem a bit difficult in the beginning, but usually it gets easier as we go along.  You are going to see words appear on the screen one by one.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct4,4658,57,175,25,25,25,100,150,2,4,0,0,0,0,0,0,0,"This task may seem a bit difficult in the beginning, but usually it gets easier as we go along.   You are going to see words appear on the screen one by one.  After all the words have finished appearing on the screen, you will be asked to type in as many of the words as you can remember.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct5,1842,57,175,25,25,25,100,150,2,5,0,0,0,0,0,0,0,You can type them in any order that comes to mind.,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct6,2132,57,175,25,25,25,100,150,2,6,0,0,0,0,0,0,0,You can type them in any order that comes to mind.   Try not to repeat yourself by giving the same word more than once.,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct7,2925,57,175,25,25,25,100,150,2,7,0,0,0,0,0,0,0,"You can type them in any order that comes to mind.   Try not to repeat yourself by giving the same word more than once.   Remember, the order does not matter and it is okay if you cannot remember some words.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct8,5229,57,175,25,25,25,100,150,2,8,0,0,0,0,0,0,0,"You can type them in any order that comes to mind.   Try not to repeat yourself by giving the same word more than once.   Remember, the order does not matter and it is okay if you cannot remember some words.   You are then going to do this task a few more times to see how many words you can eventually learn.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_pres_instruct,trial1_pres_instruct9,1450,57,175,25,25,25,100,150,2,9,0,0,0,0,0,0,0,Press spacebar when you are ready to begin the task.,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response1,7139,house,175,25,25,25,100,150,4,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response2,2172,river,175,25,25,25,100,150,4,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response3,2215,hat,175,25,25,25,100,150,4,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response4,5706,school,175,25,25,25,100,150,4,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response5,1338,nose,175,25,25,25,100,150,4,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response6,13236,school,175,25,25,25,100,150,4,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response7,10815,farm,175,25,25,25,100,150,4,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial1_recall,trial1_recall_response8,17282,,175,25,25,25,100,150,4,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_pres_instruct,trial2_pres_instruct1,3241,57,175,25,25,25,100,150,5,1,0,0,0,0,0,0,0,"Good, that was a good beginning.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_pres_instruct,trial2_pres_instruct2,527,57,175,25,25,25,100,150,5,2,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_pres_instruct,trial2_pres_instruct3,3500,57,175,25,25,25,100,150,5,3,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.   At the end, you will be asked to type in as many words as you can remember including all the words you remembered on the first trial.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response1,1658,river,175,25,25,25,100,150,7,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response2,1341,house,175,25,25,25,100,150,7,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response3,1108,farm,175,25,25,25,100,150,7,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response4,947,nose,175,25,25,25,100,150,7,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response5,3649,coffee,175,25,25,25,100,150,7,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response6,1460,turkey,175,25,25,25,100,150,7,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response7,1727,bell,175,25,25,25,100,150,7,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response8,3980,drum,175,25,25,25,100,150,7,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response9,6016,school,175,25,25,25,100,150,7,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response10,7363,fist,175,25,25,25,100,150,7,10,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial2_recall,trial2_recall_response11,9126,,175,25,25,25,100,150,7,11,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_pres_instruct,trial3_pres_instruct1,1182,57,175,25,25,25,100,150,8,1,0,0,0,0,0,0,0,"Good, that was a good beginning.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_pres_instruct,trial3_pres_instruct2,1458,57,175,25,25,25,100,150,8,2,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_pres_instruct,trial3_pres_instruct3,4546,57,175,25,25,25,100,150,8,3,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.   At the end, you will be asked to type in as many words as you can remember including all the words you remembered on the first trial.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response1,3257,river,175,25,25,25,100,150,10,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response2,1040,house,175,25,25,25,100,150,10,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response3,1059,school,175,25,25,25,100,150,10,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response4,916,nose,175,25,25,25,100,150,10,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response5,2868,farmer,175,25,25,25,100,150,10,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response6,2497,drum,175,25,25,25,100,150,10,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response7,1620,bell,175,25,25,25,100,150,10,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response8,1979,turkey,175,25,25,25,100,150,10,8,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response9,10153,coffee,175,25,25,25,100,150,10,9,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response10,6565,garden,175,25,25,25,100,150,10,10,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response11,17365,nose,175,25,25,25,100,150,10,11,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial3_recall,trial3_recall_response12,4419,,175,25,25,25,100,150,10,12,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_pres_instruct,trial4_pres_instruct1,1027,57,175,25,25,25,100,150,11,1,0,0,0,0,0,0,0,"Good, that was a good beginning.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_pres_instruct,trial4_pres_instruct2,1085,57,175,25,25,25,100,150,11,2,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_pres_instruct,trial4_pres_instruct3,1181,57,175,25,25,25,100,150,11,3,0,0,0,0,0,0,0,"Good, that was a good beginning.   Now, you will see the same words you saw before.   At the end, you will be asked to type in as many words as you can remember including all the words you remembered on the first trial.",0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response1,1297,river,175,25,25,25,100,150,13,1,0,0,0,0,0,0,0,recallrect2_empty,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response2,888,house,175,25,25,25,100,150,13,2,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response3,1070,farmer,175,25,25,25,100,150,13,3,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response4,1956,turkey,175,25,25,25,100,150,13,4,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response5,2294,garden,175,25,25,25,100,150,13,5,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response6,2107,drum,175,25,25,25,100,150,13,6,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response7,875,bell,175,25,25,25,100,150,13,7,0,0,0,0,0,0,0,recallrect1_full,0
5.0.6.0,win,12317,20:04:32,42,rey_trial4_recall,trial4_recall_response8,1807,school,175,25,25,25,100,150,13,8,0,0,0,0,0,0,0,recallrect1_full,0
