subjid,date,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-NaN_cue-cond-trial.nocue
2,21417,457.5,519.5,578.3333333,480.75,566.25,443.4545455,496,476.5,454.5833333,531.6666667,515,nan,537.2222222,676,583,471.1666667,492,520,460.1111111,577.75,527.25,443.5,495.8333333,527,628.25,438.6666667,493.75,663.5,389.5833333,541.5,589.3333333,565,547.4444444,481,585,491.25,494.5,662,516.1666667,609.7
3,21317,693.5,660.5,627.8181818,489.25,809.25,491.3,644.25,841.5,520.0833333,507.4,800.5,1116,682.6666667,683,655,625.3636364,663.5,681,629.0833333,606.3333333,845.5,496,563.1818182,514.25,744.5,606.3636364,515.3333333,648.25,538.25,696.6363636,573,662,656,660.6666667,718.5,595.4,616.5,804.6666667,591.8181818,671.375
4,21317,429.75,476.25,445.8333333,410.5,473.25,389.1,414,474,406.2727273,433.5454545,464.5,557.5,480.8333333,575,543,434.7272727,437.25,511,458,553.2,407,406.5,416,440.75,498,416.5,423.5,446.25,387.0833333,469.0909091,553.6666667,491.75,475.3,510,576.6666667,494.7777778,628.75,564,441.7,520.5
5,21317,616.25,640.5,620.3333333,565.75,625,559,638.75,808.25,609.5454545,640.4166667,681.75,908.5,784.9166667,760.25,778.75,665.4545455,674.75,714.5,690.25,741.4545455,780.5,703,688.4166667,583,744.25,515.0909091,780.25,609.5,577.75,590.9090909,768.25,750.5,778.4,700.5,924.5,653.4545455,776.75,742.25,621,769.5
6,21317,549.5,601.75,652.0833333,574.75,716,525.2727273,526.75,640.25,571.75,600.8333333,672,934.75,718.3333333,744.25,837.3333333,607.75,653.25,726,674.0833333,664.5833333,650.25,566.25,712.5,747,660.5,640.6666667,606,748.5,575.1666667,750.4166667,724.75,655.5,684.4166667,654.25,742.25,631.5833333,646,743.25,623.4166667,699.7272727
8,21317,628.75,687.75,630.5,457,654.5,516,557.25,666.25,498.9166667,570.8333333,665,805.25,640.25,682,742.5,607.5,571.75,695.75,599,657.2727273,622.25,573.25,562.6666667,557.5,647.75,499.5,573.75,643.75,500.25,603.75,707.75,655.5,657.6666667,564.25,765.25,591.1666667,666.25,713,592.2727273,687.5454545
9,21217,723,779.5,829.2727273,789.25,778.75,843,887.75,1006,680.3333333,913.9166667,1122.5,1013,962.9090909,951.75,959.25,818.25,813.75,977.75,840.3636364,984.9166667,846,688.6666667,872.2727273,771.75,777.25,725.6666667,806.75,1084.5,684.5,890.5,945.5,794.75,856.6666667,867.5,981.5,827.25,956,970.75,835.6666667,1007.636364
10,21217,nan,429.5,559,356,nan,308,341,501,292,424.5,nan,413.5,537,nan,582,597,nan,nan,478,nan,nan,nan,386.6666667,442,nan,262.6666667,173,nan,341,402,nan,nan,312,nan,nan,580,nan,nan,25.5,438
12,21317,512.5,620.25,575.7272727,588,634,465.6363636,578.75,510,521.25,558.4,615.5,789,576.4545455,683,765.25,595.25,586.5,640,567.8333333,593.3636364,664.25,614.5,528.9166667,540.5,561,517.75,507.5,507,443.4166667,606.1666667,704.25,742.3333333,667.2727273,586.75,587.6666667,581.0833333,499.5,593,568.4166667,676.2727273
13,21317,655.5,600.5,601,582.75,607,592,538.25,613.75,584.1818182,657.2727273,692,541.75,677.4,653,743.6666667,578.1818182,552.25,649.25,557.0833333,701.7272727,530.75,544.75,588.25,643.6666667,645,520.0833333,560.5,564.5,479.4166667,680.6363636,609.6666667,628.3333333,657.8,608.25,707.6666667,608.9090909,607,763.5,541.4166667,634.75
14,21317,556,751,726.1818182,747,656,631.1,689,814.75,666.1666667,817.6363636,863.3333333,933.3333333,772.8333333,1125.666667,884,721.1,624.25,789,706.1,813.8181818,871.25,703.25,716.9090909,955,844.3333333,744.5,674.5,836.5,816.8333333,846.125,989,725.5,826.2,784,993.3333333,663.5555556,849.25,851.3333333,857.6666667,911.8
15,21317,692.25,602.25,697.8333333,510,744,630.8181818,697.5,706,629.3333333,638,792,890.5,803,776.75,1003.5,730.9166667,731.75,665.3333333,743.1666667,859.9090909,659.25,738.75,583.3333333,685.5,757.75,562.9166667,658.5,823,622.5454545,695.8333333,945.3333333,625.6666667,807.6363636,782.75,920,805.3333333,643.75,760.5,729.9166667,1007.3
16,21317,516,501,606.4166667,467.25,616,489.3,589.3333333,585.5,525.7272727,508.7272727,684.75,695,655.625,1108.666667,852.25,570.8333333,552.3333333,745,618.4,692.1428571,494,698,555.9090909,565.25,514,526.5,588.6666667,636,473.6363636,503.375,827.6666667,667.25,670,648.75,784.25,743.6,582.75,761.3333333,662.6666667,758.625
17,21317,606.25,565.25,542.8,523.75,613.75,523.4,633.6666667,560,520.9166667,547.25,735.5,623.5,675.3,551.25,606.5,511.8333333,594.3333333,731.75,622.6363636,642.5555556,584.6666667,569.25,593.9,470,677.6666667,494.4,560.75,647,513.8181818,608.75,667,646.6666667,613.375,662.6666667,737.6666667,560.4545455,608.5,610.6666667,588.1818182,692.9
18,21317,396.5,389,453.7,452.6666667,465.5,372.6666667,376.25,400.6666667,338.875,397.6,413,447.5,404,nan,362.5,480,362,428,352.6666667,508,530,408.5,410.8181818,413,437,362,374.5,456.25,379.875,444,498,366.5,459.75,413,325,356,409,434,400.5,566
19,21317,528.5,681,597.1666667,588.75,563.3333333,501.6363636,574.75,625.5,551,597.8181818,542.25,800.75,628.1666667,700,836,599.9166667,693.5,911.75,583.4545455,684.5,731.75,597.3333333,566.8181818,611.5,646.25,529.6666667,549.75,683.5,468.5,672.75,805,619.25,710.3333333,608.75,918.3333333,607.0833333,671,738.75,546.0909091,729.1666667
20,21317,604,615.5,723.25,591.75,732.25,604.1818182,718.25,602.75,578.9166667,645.25,812.25,1016.666667,952.3636364,850.75,976.75,730.7,763.25,928,755.25,821.5,578.75,681.75,584.6666667,584.75,743.5,585,544.6666667,710.25,533.6666667,671.8181818,967,615,821.9,716.25,777.3333333,855.1,730.3333333,934,681,810.3636364
21,21317,533.75,514,647.4166667,586.25,613.75,633.5454545,593.6666667,651.75,560.0833333,594.5,710.75,803.75,665.4545455,870,784.3333333,593.7,586,850.25,629.3636364,643.3636364,618,558.75,588.75,638.5,615.25,532.8333333,647.75,672.25,538.5833333,644.9166667,1004,671,831.8,722,673.6666667,626.3636364,648.75,782,664.7272727,776.0909091
22,21317,448,810.5,569.4285714,678.5,929,538,773,939.3333333,526.3,751.5454545,646.5,911,809.1,925.3333333,993,546.8888889,768.6666667,1012,704.6666667,746.3,951.3333333,779.5,921.25,1152.5,647,651.3636364,871.5,581.6666667,752.9,910,951.5,654,1051.166667,940,1007.25,679.1111111,864,1025,688,749.3636364
24,21317,494.5,433.25,586.4166667,492.25,587,521.4545455,559.75,622,479.6363636,515,692,873.5,670.1818182,657.5,801.6666667,705.9,548.25,609,629.1818182,653.5833333,698.25,501.5,543.8333333,484.25,623.25,509.8333333,497.75,518.3333333,525.8333333,542.9090909,722.3333333,566.25,675.7272727,664.75,706,623.875,533.6666667,708.25,596.1,749.0909091
25,21317,991.5,1108.666667,949.1818182,970.5,936.75,835.2222222,861.6666667,1109.75,981.7777778,1127.1,972.6666667,1293,1104,1079.75,857.25,1026.181818,798.25,1015.333333,999,1108.333333,1116.5,881.25,1124.181818,1112,888,1006.916667,999,927,1010.6,1120.4,1052.333333,1072,947.4,953,999,985.7272727,949,1170.25,941.7272727,1162.7
26,21317,501.75,663.6666667,601,645.25,642.5,607.9,653.5,918.5,668.5,775.3333333,743.25,1038,945.5454545,683,867,651.8181818,710.6666667,802.75,671.5555556,746.6363636,646.25,647.75,656.2,648.6666667,605.6666667,723.3636364,574,692.75,574.75,728.0909091,929.25,676.5,886.3333333,649.75,726,679.2222222,687,700.3333333,731.3636364,799.2727273
28,21317,667.75,696.75,856.3333333,729.25,975.5,741.2727273,781.75,756.5,689.9166667,773.5833333,858.25,1116.75,931.9166667,763.25,951,777.8181818,977.75,1102.75,809.5454545,831.3333333,832,777,727.25,787,816,687.4166667,694.5,728,732.6666667,861.1818182,1070.25,1040.5,896.0833333,828,854.5,787.9090909,799,977.5,842.3636364,897.4166667
