subjid,date,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-NaN_cue-cond-trial.nocue
2,21417,457.5,539.25,578.3333333333334,480.75,566.25,548.1666666666666,496.0,476.5,454.5833333333333,531.6666666666666,514.5,550.75,537.3333333333334,623.5,559.5,471.1666666666667,477.5,492.25,486.5,558.5833333333334,527.25,443.5,495.8333333333333,527.0,628.25,438.6666666666667,493.75,663.5,389.5833333333333,534.1666666666666,589.5,541.75,528.0833333333334,481.0,563.75,491.25,494.5,569.75,516.1666666666666,579.4166666666666
3,21317,693.5,660.5,610.1666666666666,489.25,809.25,692.75,644.25,841.5,520.0833333333334,605.4166666666666,800.5,924.25,682.6666666666666,591.25,622.5,714.9166666666666,663.5,1190.5,629.0833333333334,785.25,845.5,496.0,657.9166666666666,514.25,744.5,627.75,534.0,648.25,538.25,780.25,541.5,634.75,652.9166666666666,616.75,637.5,679.25,616.5,720.25,577.3333333333334,768.6666666666666
4,21317,429.75,476.25,445.8333333333333,410.5,473.25,607.5833333333334,414.0,474.0,407.5,423.5833333333333,455.0,505.5,480.8333333333333,788.0,532.0,429.9166666666667,437.25,771.75,458.0,541.0833333333334,407.0,406.5,415.8333333333333,440.75,498.0,416.5,423.5,446.25,387.0833333333333,546.5,528.25,491.75,456.8333333333333,462.25,545.0,478.3333333333333,628.75,515.25,431.0,485.25
5,21317,616.25,640.5,620.3333333333334,565.75,625.0,662.75,638.75,808.25,559.8333333333334,640.4166666666666,681.75,765.0,784.9166666666666,760.25,778.75,647.0833333333334,674.75,714.5,690.25,740.4166666666666,780.5,703.0,688.4166666666666,583.0,744.25,613.8333333333334,780.25,609.5,577.75,614.0,768.25,750.5,733.5833333333334,757.25,924.5,661.75,776.75,742.25,621.0,721.9166666666666
6,21317,549.5,601.75,652.0833333333334,574.75,716.0,623.1666666666666,526.75,640.25,571.75,600.8333333333334,672.0,934.75,718.3333333333334,744.25,750.0,607.75,653.25,726.0,674.0833333333334,664.5833333333334,650.25,566.25,712.5,747.0,660.5,640.6666666666666,606.0,748.5,575.1666666666666,750.4166666666666,724.75,655.5,684.4166666666666,654.25,742.25,631.5833333333334,646.0,743.25,623.4166666666666,668.75
8,21317,628.75,687.75,630.5,457.0,654.5,614.6666666666666,557.25,666.25,498.9166666666667,570.8333333333334,665.0,805.25,640.25,682.0,742.5,607.5,571.75,695.75,599.0,636.0833333333334,622.25,573.25,562.6666666666666,557.5,647.75,499.5,573.75,643.75,500.25,603.75,707.75,655.5,657.6666666666666,564.25,765.25,591.1666666666666,666.25,648.0,570.25,682.75
9,21217,723.0,779.5,901.8333333333334,789.25,778.75,914.4166666666666,887.75,1179.5,680.3333333333334,913.9166666666666,1122.5,1157.0,1024.3333333333333,951.75,959.25,818.25,813.75,977.75,912.0,984.9166666666666,846.0,941.5,941.25,771.75,777.25,725.6666666666666,806.75,1023.0,684.5,890.5,945.5,794.75,856.6666666666666,867.5,981.5,827.25,956.0,970.75,835.6666666666666,1065.3333333333333
10,21217,1700.0,1064.75,1604.9166666666667,1364.0,1700.0,1468.0,1360.25,1400.25,1444.4166666666667,1348.4166666666667,1700.0,1056.75,1496.4166666666667,1392.5,1420.5,1466.6666666666667,1700.0,1700.0,1496.3333333333333,1590.25,1700.0,1700.0,1371.6666666666667,1385.5,1700.0,1251.1666666666667,1318.25,1421.75,1586.75,1314.5833333333333,1367.75,1700.0,1355.3333333333333,1700.0,1700.0,1606.6666666666667,1700.0,1309.25,1420.9166666666667,1489.6666666666667
12,21317,512.5,620.25,669.4166666666666,588.0,634.0,568.5,578.75,510.0,521.25,519.75,615.5,747.5,574.1666666666666,683.0,765.25,595.25,586.5,617.0,567.8333333333334,587.5833333333334,664.25,614.5,528.9166666666666,540.5,534.75,517.75,507.5,507.0,443.4166666666667,606.1666666666666,704.25,674.5,644.0833333333334,586.75,550.75,581.0833333333334,499.5,553.0,568.4166666666666,651.9166666666666
13,21317,655.5,600.5,601.0,582.75,607.0,816.5833333333334,538.25,613.75,629.4166666666666,744.1666666666666,777.0,541.75,796.1666666666666,653.0,982.75,671.6666666666666,552.25,649.25,557.0833333333334,784.9166666666666,530.75,544.75,588.25,907.75,645.0,520.0833333333334,560.5,564.5,479.4166666666667,765.5833333333334,461.5,714.0,618.3333333333334,608.25,647.5,593.1666666666666,607.0,763.5,541.4166666666666,634.75
14,21317,556.0,751.0,807.3333333333334,747.0,656.0,809.25,689.0,814.75,666.1666666666666,891.1666666666666,814.0,1125.0,772.8333333333334,1176.0,884.0,838.25,624.25,1244.5,871.75,802.6666666666666,871.25,703.25,798.8333333333334,1141.25,1058.25,744.5,674.5,836.5,816.8333333333334,938.0833333333334,872.25,725.5,818.5,1013.0,882.5,832.1666666666666,849.25,866.75,939.9166666666666,998.0833333333334
15,21317,692.25,602.25,697.8333333333334,510.0,744.0,719.9166666666666,697.5,706.0,629.3333333333334,638.0,792.0,890.5,803.0,776.75,1003.5,730.9166666666666,731.75,654.25,743.1666666666666,848.1666666666666,659.25,738.75,583.3333333333334,685.5,757.75,562.9166666666666,658.5,823.0,629.0,695.8333333333334,1134.0,622.25,789.3333333333334,782.75,920.0,805.3333333333334,643.75,628.0,729.9166666666666,1122.75
16,21317,516.0,501.0,606.4166666666666,467.25,658.25,620.0,622.0,585.5,529.25,498.4166666666667,684.75,712.25,633.8333333333334,978.0,852.25,570.8333333333334,551.5,667.0,602.4166666666666,641.4166666666666,494.0,698.0,547.8333333333334,565.25,575.0,526.5,550.25,636.0,476.5,559.0,754.0,667.25,624.0833333333334,648.75,784.25,706.75,582.75,744.75,640.8333333333334,660.8333333333334
17,21317,606.25,565.25,551.5833333333334,523.75,613.75,613.5833333333334,588.0,560.0,520.9166666666666,547.25,735.5,623.5,653.25,551.25,606.5,511.8333333333333,593.0,731.75,607.5,637.5,575.0,569.25,583.5,481.75,666.0,498.0,560.75,633.0,532.5833333333334,608.75,700.25,590.75,560.1666666666666,611.25,676.0,547.4166666666666,608.5,576.0,573.5,664.5833333333334
18,21317,396.5,389.0,440.75,426.75,413.25,486.5,376.25,401.25,364.9166666666667,399.5833333333333,430.75,447.5,406.1666666666667,481.5,393.5,429.3333333333333,367.25,429.0,388.25,430.6666666666667,530.0,419.25,409.5833333333333,402.25,415.5,331.0833333333333,382.5,456.25,362.5,432.4166666666667,412.25,361.5,408.8333333333333,397.0,327.25,362.4166666666667,375.75,434.5,379.0,490.6666666666667
19,21317,528.5,681.0,597.1666666666666,588.75,646.25,601.5,574.75,625.5,551.0,595.75,542.25,800.75,628.1666666666666,700.0,750.25,599.9166666666666,693.5,911.75,577.0833333333334,684.5,731.75,531.75,577.1666666666666,611.5,646.25,529.6666666666666,549.75,683.5,468.5,672.75,805.0,619.25,710.3333333333334,608.75,845.75,607.0833333333334,671.0,738.75,550.75,729.1666666666666
20,21317,604.0,615.5,723.25,591.75,732.25,695.5,718.25,602.75,578.9166666666666,645.25,812.25,939.25,917.8333333333334,850.75,976.75,711.6666666666666,763.25,901.5,755.25,767.6666666666666,578.75,681.75,584.6666666666666,584.75,743.5,585.0,517.25,710.25,533.6666666666666,672.5,839.25,615.0,759.0833333333334,716.25,749.25,795.25,683.5,934.0,640.3333333333334,815.0
21,21317,533.75,514.0,647.4166666666666,586.25,613.75,722.4166666666666,588.75,651.75,560.0833333333334,594.5,710.75,803.75,646.1666666666666,703.25,736.5,649.3333333333334,665.75,850.25,622.75,655.4166666666666,618.0,558.75,588.75,638.5,615.25,532.8333333333334,647.75,672.25,538.5833333333334,644.9166666666666,665.75,835.75,774.4166666666666,605.75,648.5,603.3333333333334,648.75,782.0,646.4166666666666,759.5833333333334
22,21317,448.0,810.5,593.9166666666666,678.5,688.75,671.3333333333334,615.25,1129.5,589.25,812.6666666666666,963.0,1305.5,836.3333333333334,729.0,809.5,629.75,620.5,1003.0,632.5833333333334,696.6666666666666,754.0,436.0,858.1666666666666,955.5,518.75,633.0,871.5,646.5,774.0833333333334,778.6666666666666,1001.75,749.25,1022.75,713.75,1007.25,667.0833333333334,681.75,880.75,793.25,763.0833333333334
24,21317,494.5,433.25,586.4166666666666,492.25,595.25,619.6666666666666,559.75,622.0,476.75,515.0,692.0,696.25,655.6666666666666,657.5,767.75,655.9166666666666,548.25,577.0,616.6666666666666,653.5833333333334,698.25,501.5,543.8333333333334,484.25,623.25,509.8333333333333,497.75,492.5,525.8333333333334,639.3333333333334,735.75,566.25,679.8333333333334,664.75,706.0,589.0,507.5,708.25,570.5833333333334,724.3333333333334
25,21317,991.5,1256.5,993.0,970.5,936.75,1051.4166666666667,1071.25,1109.75,1032.9166666666667,1222.5833333333333,1090.75,1293.0,1153.6666666666667,1079.75,857.25,1042.25,798.25,813.25,1100.6666666666667,1108.3333333333333,1116.5,881.25,1172.1666666666667,1112.0,1025.5,1006.9166666666666,999.0,927.0,1125.5,1179.3333333333333,1214.25,1072.0,1032.75,953.0,1103.25,1013.8333333333334,949.0,1170.25,1004.9166666666666,1130.5
26,21317,501.75,922.75,692.5833333333334,645.25,642.5,706.5,653.5,918.5,668.5,775.3333333333334,743.25,1012.25,914.4166666666666,918.5,867.0,739.1666666666666,699.25,802.75,928.6666666666666,740.0,646.25,647.75,716.1666666666666,868.25,703.0,716.1666666666666,574.0,692.75,574.75,763.5,929.25,676.5,886.3333333333334,649.75,723.25,689.5,857.0,735.0,670.5833333333334,874.3333333333334
28,21317,667.75,696.75,856.3333333333334,729.25,975.5,821.1666666666666,781.75,756.5,689.9166666666666,773.5833333333334,858.25,1116.75,931.9166666666666,763.25,951.0,774.5,977.75,1102.75,782.4166666666666,831.3333333333334,832.0,777.0,727.25,741.0,816.0,687.4166666666666,694.5,728.0,732.6666666666666,884.1666666666666,1070.25,1040.5,896.0833333333334,1046.0,854.5,805.5,799.0,977.5,827.8333333333334,897.4166666666666
29,21317,629.75,1077.75,880.8333333333334,748.75,884.25,912.9166666666666,1003.0,800.0,743.25,750.9166666666666,1050.25,983.0,1025.0833333333333,867.5,1007.75,945.0,767.5,1190.75,1022.8333333333334,989.0,956.75,973.0,879.4166666666666,563.0,639.0,652.25,666.5,1056.5,879.0833333333334,840.0,1106.75,855.0,916.25,923.5,911.75,892.1666666666666,1022.25,995.25,791.1666666666666,895.4166666666666
31,21317,538.25,605.25,580.1666666666666,535.75,664.75,591.8333333333334,859.5,692.5,522.6666666666666,718.75,660.75,1001.5,692.6666666666666,743.25,711.25,563.5,576.5,647.0,620.6666666666666,676.75,706.5,585.5,720.0833333333334,650.0,741.0,505.4166666666667,616.25,694.75,490.9166666666667,669.9166666666666,766.75,633.25,708.6666666666666,667.5,668.0,622.25,655.0,862.75,627.5833333333334,766.9166666666666
34,21317,519.0,532.0,613.5,540.25,583.75,594.6666666666666,566.0,594.25,477.0,554.5833333333334,616.0,786.25,581.5,732.0,584.75,574.4166666666666,506.25,609.25,499.0,569.0833333333334,535.0,525.75,558.6666666666666,539.0,574.25,497.25,542.5,537.5,438.0833333333333,604.5,633.25,600.0,571.0,534.5,602.75,560.25,486.75,537.75,510.25,673.75
36,21317,581.75,613.25,738.1666666666666,692.25,733.5,667.75,690.0,637.75,605.5833333333334,594.4166666666666,648.5,923.0,757.8333333333334,693.5,773.5,746.6666666666666,641.0,740.0,704.4166666666666,725.9166666666666,630.0,684.75,655.75,692.75,681.5,616.75,593.5,761.5,584.9166666666666,727.0833333333334,846.75,735.75,787.6666666666666,687.25,757.75,715.5833333333334,665.0,659.25,697.5833333333334,897.8333333333334
39,21317,463.25,405.25,463.8333333333333,441.0,437.5,564.75,514.75,507.0,433.0,470.0833333333333,458.25,484.75,581.3333333333334,457.75,497.25,464.6666666666667,459.0,603.5,458.0833333333333,497.8333333333333,539.0,492.75,453.5,344.0,561.75,425.4166666666667,449.0,513.75,382.1666666666667,488.0833333333333,581.75,510.25,511.8333333333333,460.0,608.75,505.8333333333333,499.25,447.75,527.0,543.5833333333334
10_1,21317,824.0,589.5,688.1666666666666,474.0,561.75,609.5,579.0,473.0,476.8333333333333,600.4166666666666,744.75,958.5,640.3333333333334,694.0,546.5,563.6666666666666,538.25,553.25,654.0833333333334,657.3333333333334,577.25,680.5,500.0,635.0,854.75,509.0833333333333,560.5,515.0,594.9166666666666,560.0833333333334,597.5,689.5,575.8333333333334,581.0,565.75,636.4166666666666,728.0,546.5,684.5833333333334,636.5833333333334
6_1,21117,664.5,610.5,589.0,538.0,683.0,606.0833333333334,555.25,692.0,658.25,612.5,712.75,879.25,671.5,800.0,820.75,668.8333333333334,727.75,738.25,585.0,798.5833333333334,529.75,550.25,595.75,694.75,625.5,512.9166666666666,566.75,672.0,515.25,672.5833333333334,928.5,638.75,740.5,676.5,794.75,628.0,672.25,713.75,625.75,719.5
9_1,21317,458.25,484.25,526.6666666666666,395.0,475.0,530.25,412.5,357.75,533.25,513.6666666666666,556.0,927.25,596.1666666666666,823.25,550.0,514.8333333333334,428.25,488.0,528.3333333333334,742.75,422.25,464.0,756.1666666666666,373.0,483.5,407.0,436.5,454.25,452.75,502.8333333333333,526.0,482.25,670.8333333333334,466.25,508.25,521.1666666666666,465.5,626.5,608.3333333333334,535.9166666666666
1,80717,710.5,786.25,826.8333333333334,576.75,913.25,699.9166666666666,668.75,751.25,743.0,812.1666666666666,912.5,989.25,825.0,886.5,828.25,764.9166666666666,841.0,763.25,745.25,867.5,734.25,755.25,821.6666666666666,805.0,690.75,593.0,672.0,711.5,688.5833333333334,742.5,961.5,850.25,865.5,741.75,964.75,738.75,752.5,822.5,776.75,906.1666666666666
2,80717,708.75,700.25,714.5833333333334,732.75,794.0,751.75,667.5,808.25,644.9166666666666,805.6666666666666,802.5,1036.0,962.8333333333334,1022.0,980.75,810.3333333333334,918.5,1084.0,997.6666666666666,792.5833333333334,823.0,623.0,852.5,1011.25,794.25,877.1666666666666,739.5,1015.0,623.25,831.1666666666666,1070.25,749.75,927.4166666666666,795.75,1139.75,870.9166666666666,835.25,932.0,760.5833333333334,915.5
4.0,80717.0,1700.0,1700.0,1461.142857142857,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1625.0,1700.0,1700.0,1700.0,1700.0,1700.0,1615.625,1385.3333333333333,1700.0,1700.0,1700.0,1700.0,1446.6363636363637,1700.0,1700.0,1611.2222222222222,1700.0,1293.5,1700.0,1700.0,1700.0,1700.0,1520.3333333333333,1700.0,1700.0,1516.2222222222222,1700.0
5,80717,647.5,552.75,696.5,504.75,646.5,704.25,519.75,643.25,552.6666666666666,554.75,746.25,970.5,649.9166666666666,665.25,603.75,635.3333333333334,557.25,679.0,652.1666666666666,641.75,570.75,591.25,584.3333333333334,647.75,689.25,541.0833333333334,532.75,589.25,512.6666666666666,597.5833333333334,683.75,686.25,608.3333333333334,641.0,701.0,622.0,595.5,563.75,576.6666666666666,686.4166666666666
10,80717,480.5,495.75,601.6666666666666,576.75,532.75,645.1666666666666,588.0,651.5,465.25,561.3333333333334,728.75,686.5,681.75,748.5,791.5,573.75,511.25,709.25,508.25,650.6666666666666,499.0,516.5,541.5,582.5,566.75,625.6666666666666,540.5,1028.0,500.4166666666667,720.8333333333334,707.5,607.25,650.0833333333334,611.5,684.5,574.4166666666666,651.5,548.75,530.25,619.6666666666666
11,80717,466.0,481.0,683.6666666666666,462.0,502.0,532.0,533.75,516.0,409.75,451.4166666666667,437.25,919.0,475.25,564.25,598.75,505.0833333333333,386.0,474.25,423.9166666666667,531.75,511.0,490.5,481.4166666666667,485.75,511.75,441.5,581.0,500.25,470.6666666666667,533.9166666666666,659.75,398.25,528.5,582.5,593.5,428.0,452.25,536.75,441.0833333333333,556.75
16,80717,728.0,752.25,795.6666666666666,680.75,941.75,816.0833333333334,779.75,857.75,715.9166666666666,775.5833333333334,846.5,1042.0,963.8333333333334,796.5,1027.75,741.25,797.75,927.25,853.0833333333334,936.75,775.5,900.0,797.0,799.75,861.75,665.8333333333334,835.0,749.5,713.5833333333334,879.5,992.5,758.5,825.4166666666666,1061.75,953.0,805.6666666666666,750.0,1000.0,789.9166666666666,920.9166666666666
18,80717,540.25,755.5,633.75,570.5,609.25,639.3333333333334,674.25,692.25,635.75,632.3333333333334,804.75,821.25,764.25,802.0,851.25,709.9166666666666,656.0,854.25,643.5,806.9166666666666,621.75,723.5,698.75,623.5,746.0,552.6666666666666,652.0,697.25,541.1666666666666,709.0,889.5,710.25,874.0833333333334,793.5,819.0,748.5,736.25,784.75,716.0833333333334,833.75
20,80717,798.75,853.25,990.1666666666666,988.25,1000.5,862.8333333333334,753.75,929.25,858.25,834.4166666666666,926.25,875.75,913.1666666666666,789.75,866.75,945.3333333333334,904.75,794.75,782.75,942.4166666666666,1048.25,780.0,860.5,789.0,920.5,715.4166666666666,782.0,1039.0,804.75,964.9166666666666,1084.0,1050.0,803.4166666666666,1023.75,969.5,879.5833333333334,741.75,835.0,853.6666666666666,1012.6666666666666
21,80717,614.0,606.5,602.5833333333334,464.75,612.5,612.0,586.0,588.25,550.5833333333334,624.3333333333334,794.0,724.75,694.9166666666666,694.75,608.75,587.3333333333334,711.5,696.5,615.0833333333334,689.3333333333334,601.5,600.0,579.25,526.0,670.75,483.1666666666667,594.25,586.25,509.4166666666667,603.8333333333334,641.75,632.0,660.0,627.5,786.25,579.3333333333334,536.75,697.75,654.3333333333334,635.75
24,80717,916.75,732.75,885.0833333333334,826.25,890.0,847.9166666666666,776.25,852.0,772.8333333333334,832.6666666666666,939.25,1305.75,855.75,1106.25,1024.0,854.5833333333334,798.0,974.5,782.0,972.75,721.25,756.75,868.5,825.25,840.5,710.75,869.75,1076.75,665.4166666666666,845.6666666666666,1071.0,900.5,830.8333333333334,890.5,1075.5,875.5,816.0,898.25,892.25,1236.4166666666667
27,80717,534.25,645.25,576.0833333333334,478.0,569.5,704.1666666666666,603.0,539.25,474.8333333333333,619.5833333333334,664.0,835.25,731.0833333333334,668.75,668.5,556.3333333333334,602.25,652.75,579.3333333333334,715.3333333333334,500.25,541.25,558.0,519.25,571.25,480.5,472.25,550.75,442.0,581.5,776.75,622.75,730.25,560.0,741.5,559.5,580.75,734.0,619.75,757.5
31,80717,558.25,590.25,624.0833333333334,537.0,602.25,627.5833333333334,591.25,734.5,571.5,590.75,706.75,1082.5,716.3333333333334,791.25,789.5,563.0833333333334,642.25,771.75,632.5,708.9166666666666,589.5,655.25,616.75,591.25,602.5,523.5833333333334,631.0,639.25,471.75,686.8333333333334,745.0,634.0,773.4166666666666,669.75,826.75,643.9166666666666,603.0,758.0,685.6666666666666,850.0
32,80717,719.5,595.5,785.0833333333334,570.5,726.0,747.3333333333334,623.0,864.5,699.25,698.6666666666666,812.25,679.5,753.5833333333334,862.0,961.75,615.5833333333334,725.25,753.5,703.25,938.4166666666666,639.25,694.75,650.9166666666666,821.75,873.25,557.4166666666666,683.5,703.5,538.75,789.3333333333334,724.25,631.5,735.4166666666666,810.0,792.25,772.5,780.75,673.5,617.3333333333334,891.75
35,80717,515.5,536.0,566.3333333333334,458.75,573.5,553.4166666666666,481.25,587.75,470.5833333333333,457.0833333333333,593.5,985.25,543.5,656.5,738.25,485.3333333333333,495.75,577.25,540.25,568.5,470.25,451.5,513.0833333333334,485.5,552.5,458.5833333333333,437.0,553.75,414.5833333333333,531.0833333333334,670.5,455.25,536.0,465.0,564.5,484.8333333333333,536.5,666.25,457.6666666666667,586.6666666666666
42,80717,490.5,577.25,632.1666666666666,600.5,556.0,641.0,527.75,616.0,590.1666666666666,578.5833333333334,625.0,1010.25,661.0,807.75,673.75,625.5,528.0,907.25,680.3333333333334,675.8333333333334,540.75,583.5,539.8333333333334,586.5,622.5,510.8333333333333,606.5,686.0,478.3333333333333,617.5,696.75,750.5,646.4166666666666,581.0,787.0,652.3333333333334,674.25,692.0,635.0,769.1666666666666
47,80717,574.25,801.75,810.25,466.0,572.0,706.0833333333334,581.5,677.75,587.1666666666666,570.4166666666666,921.75,820.75,746.5833333333334,661.0,1062.25,649.5833333333334,615.25,745.5,609.4166666666666,720.3333333333334,630.25,614.0,568.5833333333334,658.25,671.0,482.1666666666667,563.0,624.25,509.3333333333333,741.9166666666666,929.25,669.5,683.0,669.25,731.25,565.4166666666666,714.5,801.25,606.75,682.25
49,80717,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1629.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1635.9166666666667,1700.0,1700.0,1700.0,1700.0
51,80717,592.25,508.5,633.3333333333334,482.0,729.0,610.3333333333334,562.25,528.0,506.0,547.25,602.0,878.0,720.3333333333334,667.0,763.0,628.5833333333334,678.5,720.25,616.75,737.3333333333334,611.5,601.0,544.0,606.75,738.0,464.4166666666667,611.75,658.25,479.5,642.5,645.25,839.75,727.8333333333334,681.75,715.5,597.5833333333334,595.25,656.5,560.5,727.75
53,80717,1700.0,1216.25,1700.0,1134.0,1700.0,1509.5,1157.75,1162.5,1506.25,1413.0,1281.75,1601.25,1469.25,1180.25,1663.0,1385.4166666666667,1700.0,1700.0,1484.3333333333333,1415.8333333333333,1526.5,1700.0,1345.5,1700.0,1700.0,1257.75,1269.25,1614.75,1278.5,1376.4166666666667,1521.5,1445.5,1490.0,1700.0,1384.75,1426.3333333333333,1413.25,1277.75,1248.25,1425.3333333333333
54,80717,966.75,87.75,482.75,283.75,816.25,289.0,223.75,301.25,233.41666666666666,230.83333333333334,350.0,611.75,310.0,265.5,208.5,591.1666666666666,231.25,754.5,285.5,256.9166666666667,165.25,559.25,183.66666666666666,218.0,882.25,172.5,218.75,46.0,204.58333333333334,341.0833333333333,244.75,567.25,274.0833333333333,414.0,210.5,213.5,207.0,465.0,290.4166666666667,282.5
58,80717,499.0,508.25,554.5833333333334,498.5,617.75,583.6666666666666,471.5,893.0,577.9166666666666,644.0,573.5,765.75,805.75,522.5,588.75,770.6666666666666,620.0,536.0,592.5833333333334,689.0833333333334,563.5,695.75,811.9166666666666,546.75,596.75,555.75,729.25,549.75,501.3333333333333,591.0,561.5,1449.75,560.4166666666666,835.5,799.75,523.0,508.5,454.5,693.5,852.0833333333334
60,80717,777.5,771.75,1132.9166666666667,617.25,980.5,1350.5,660.0,638.0,1153.4166666666667,939.8333333333334,1189.75,1001.0,954.3333333333334,417.5,863.0,824.0833333333334,1007.5,729.5,1204.9166666666667,1070.9166666666667,1079.25,798.5,628.4166666666666,1008.75,791.75,1017.5833333333334,818.25,891.75,1227.25,1114.5,696.25,1331.0,837.3333333333334,1278.25,360.75,1198.1666666666667,1384.0,1404.75,1228.6666666666667,1099.6666666666667
68,80717,605.5,719.25,811.6666666666666,583.25,809.25,755.6666666666666,778.5,744.5,748.4166666666666,760.25,825.25,1139.0,860.75,766.5,1060.75,718.5833333333334,654.25,1123.0,747.5833333333334,934.5,853.5,736.0,673.6666666666666,638.5,1093.5,534.5,577.0,952.75,568.6666666666666,796.3333333333334,913.5,1119.5,741.3333333333334,750.5,1015.75,718.6666666666666,708.5,1050.25,721.8333333333334,929.0
