cue_condition,cue_target_interval,flanker_congruence_val,flanker_congruence_string,target_location_val,target_location_string,target_direction_val,target_direction_string,location_congruence_val,location_congruence_string,target_cue_isi,run_type,run_counterpart
trial.validspatialcue3,400,1,congruent,1,right,1,right,1,congruent,3172,2,4
trial.invalidspatialcue,800,2,incongruent,1,right,1,right,1,congruent,3394,2,4
trial.validspatialcue3,0,2,incongruent,1,right,2,left,2,incongruent,2353,2,4
trial.validspatialcue3,800,2,incongruent,2,left,1,right,2,incongruent,2547,2,4
trial.validspatialcue3,800,1,congruent,2,left,2,left,1,congruent,2233,2,4
trial.nocue,400,1,congruent,2,left,1,right,2,incongruent,2743,2,4
trial.nocue,400,2,incongruent,2,left,2,left,1,congruent,3601,2,4
trial.validspatialcue3,800,2,incongruent,2,left,2,left,1,congruent,2333,2,4
trial.validspatialcue1,0,2,incongruent,1,right,1,right,1,congruent,3517,2,4
trial.invalidspatialcue,0,2,incongruent,1,right,2,left,2,incongruent,2143,2,4
trial.nocue,0,1,congruent,2,left,2,left,1,congruent,3045,2,4
trial.validspatialcue2,800,2,incongruent,1,right,2,left,2,incongruent,2090,2,4
trial.validspatialcue1,800,1,congruent,2,left,1,right,2,incongruent,2783,2,4
trial.validspatialcue2,0,1,congruent,1,right,2,left,2,incongruent,2077,2,4
trial.doublecue,800,1,congruent,1,right,1,right,1,congruent,2767,2,4
trial.invalidspatialcue,800,2,incongruent,2,left,1,right,2,incongruent,2618,2,4
trial.validspatialcue2,400,2,incongruent,1,right,1,right,1,congruent,2367,2,4
trial.validspatialcue3,800,1,congruent,2,left,1,right,2,incongruent,3557,2,4
trial.invalidspatialcue,400,2,incongruent,2,left,2,left,1,congruent,3428,2,4
trial.validspatialcue1,800,1,congruent,2,left,2,left,1,congruent,2380,2,4
trial.doublecue,400,2,incongruent,2,left,1,right,2,incongruent,2934,2,4
trial.validspatialcue2,0,1,congruent,1,right,1,right,1,congruent,2233,2,4
trial.nocue,800,1,congruent,2,left,1,right,2,incongruent,2977,2,4
trial.invalidspatialcue,400,1,congruent,1,right,2,left,2,incongruent,2077,2,4
trial.invalidspatialcue,800,2,incongruent,2,left,2,left,1,congruent,2019,2,4
trial.doublecue,0,2,incongruent,1,right,1,right,1,congruent,3358,2,4
trial.validspatialcue1,400,1,congruent,2,left,2,left,1,congruent,2717,2,4
trial.validspatialcue1,400,2,incongruent,2,left,2,left,1,congruent,3565,2,4
trial.doublecue,0,1,congruent,1,right,1,right,1,congruent,2752,2,4
trial.doublecue,0,1,congruent,2,left,2,left,1,congruent,2505,2,4
trial.nocue,0,2,incongruent,2,left,2,left,1,congruent,2920,2,4
trial.doublecue,400,1,congruent,1,right,2,left,2,incongruent,2229,2,4
trial.validspatialcue3,400,2,incongruent,2,left,1,right,2,incongruent,2488,2,4
trial.doublecue,800,2,incongruent,1,right,2,left,2,incongruent,2607,2,4
trial.nocue,800,2,incongruent,2,left,1,right,2,incongruent,2666,2,4
trial.nocue,400,2,incongruent,1,right,1,right,1,congruent,2636,2,4
trial.doublecue,0,2,incongruent,2,left,2,left,1,congruent,3558,2,4
trial.invalidspatialcue,800,1,congruent,1,right,2,left,2,incongruent,3381,2,4
trial.validspatialcue3,0,2,incongruent,2,left,2,left,1,congruent,2227,2,4
trial.validspatialcue2,0,1,congruent,2,left,2,left,1,congruent,3254,2,4
trial.validspatialcue2,0,1,congruent,2,left,1,right,2,incongruent,3045,2,4
