"date","time","group","subject","build","end_survey_question1_response","end_survey_question1_latency","end_survey_question2_response","end_survey_question2_latency","end_survey_question3_response","end_survey_question3_latency",""
"012217","00:24:57","10","10","5.0.6.0","Yes","12548","No","12548","Good","12548",""
"012117","19:16:59","11","11","5.0.6.0","Yes, everything was clear.","28636","No.","28636","Great hit guys!","28636",""
"012117","19:29:16","14","14","5.0.6.0","The instructions were clear. A practice session for task 2 would help.","54873","It took multiple tries to get into the experiment, it kept giving an ID error.","54873","Fun task, very challenging!","54873",""
"012117","19:30:06","16","16","5.0.6.0","Instructions were mostly clear, except task 2, I wasn't sure about pressing 1 for the first part of the target. A short practice round with different letters would help here.","181403","Yes, my HIT expired, because the task wasn't set up properly; I spent about 20 minutes figuring out which variables to use in the URL, to clear the errors that were coming up. So I figured I do the task anyway since I got it.","181403","Interesting task, hoping for the best. Thank you, and good luck!","181403",""
"012117","16:37:58","17","17","5.0.6.0","Yes all was very clear.","22978","No","22978","Thank you","22978",""
"012117","18:39:40","19","19","5.0.6.0","I am not sure if I did the 2nd part right. I wish there was at least a small parctice part first.","108139","Originall did not load, but it got fixed","108139","It was actually fun - thansk - Debbie","108139",""
"012117","19:01:38","1","1","5.0.6.0","Yes.","25069","The task would not launch in Chrome.","25069","Difficult task.","25069",""
"012117","18:44:19","22","22","5.0.6.0","yes","25189","inquest installation","25189","nice hit","25189",""
"012117","19:50:26","24","24","5.0.6.0","Instructions were clear","29056","Originally the inquisit link wouldn't load","29056","No","29056",""
"012117","19:51:33","25","25","5.0.6.0","Everything was clear and easy to understand","39127","No problems","39127","Very interesting and fun survey!","39127",""
"012117","19:54:11","26","26","5.0.6.0","Yes on the forst task. The second task I need some pratice rounds.","234401","On the second task, I wasn't sure and needed a few practice rounds with feedback. I started off ok but I think I got confused pressing the 1 after the X if A ","234401","came up quickly- but then the x followed, so I pressed 1- cause it was A X- anyway- I was lost and then got back on track, then lost, etc. Did my best. ","234401",""
